Produto,Categoria do Produto,PreÃ§o,Frete,Data da Compra,Vendedor,Local da compra,AvaliaÃ§Ã£o da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
Carrinho controle remoto,brinquedos,116.33,6.725327058,29/07/2021,Bruno Rodrigues,SP,5,cartao_credito,2,-22.19,-48.79
Tablet ABXY,eletronicos,1456.93,78.26415162,02/06/2021,Camila Ribeiro,MG,1,cartao_credito,9,-18.1,-44.38
Mesa de centro,moveis,262.11,21.75857859,25/02/2020,Beatriz Moraes,BA,1,cartao_credito,8,-13.29,-41.71
Smart TV,eletronicos,2344.16,125.1082446,21/03/2021,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
Mochila,esporte e lazer,120.48,12.79481191,22/09/2021,Thiago Silva,SP,1,cartao_credito,4,-22.19,-48.79
Mesa de jantar,moveis,347.09,19.01260284,26/12/2020,Larissa Alves,SC,5,cartao_credito,1,-27.45,-50.95
FogÃ£o,eletrodomesticos,1365.68,73.00147739,03/01/2020,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
Cama box,moveis,893.09,48.24136788,16/12/2021,Bianca Santos,GO,2,cartao_credito,1,-15.98,-49.86
Xadrez de madeira,brinquedos,30.69,1.917276081,16/06/2022,Beatriz Moraes,BA,5,cartao_credito,5,-13.29,-41.71
Fone de ouvido,eletronicos,72.54,1.446975837,05/12/2022,JoÃ£o Souza,SP,4,cartao_credito,6,-22.19,-48.79
Carrinho controle remoto,brinquedos,115.01,3.70837557,15/05/2020,Larissa Alves,SP,4,boleto,1,-22.19,-48.79
Cama box,moveis,681.98,37.25323116,26/07/2022,Lucas Oliveira,MG,5,cartao_credito,1,-18.1,-44.38
Celular Plus X42,eletronicos,2345.56,125.4251181,11/04/2020,Lucas Oliveira,SP,5,cartao_credito,3,-22.19,-48.79
TV Led UHD 4K,eletronicos,3831.87,201.6199888,15/07/2022,JoÃ£o Souza,SP,5,cartao_credito,1,-22.19,-48.79
Cadeira de escritÃ³rio,moveis,600.28,29.54754318,22/08/2022,Mariana Ferreira,SP,5,cartao_credito,2,-22.19,-48.79
Fone de ouvido,eletronicos,154.38,8.503396471,15/03/2022,Camila Ribeiro,SP,5,cupom,1,-22.19,-48.79
Smart TV,eletronicos,1554.06,80.33345883,07/09/2020,Camila Ribeiro,RJ,5,cartao_credito,12,-22.25,-42.66
Guarda roupas,moveis,639.28,34.3228627,02/02/2020,Larissa Alves,DF,1,boleto,1,-15.83,-47.86
Cama king,moveis,1210.47,70.6958213,07/10/2022,Bruno Rodrigues,RS,1,cartao_credito,3,-30.17,-53.5
Smartwatch,eletronicos,240.74,10.40311982,15/03/2020,Rafael Costa,SP,3,cartao_credito,1,-22.19,-48.79
Pandeiro,instrumentos musicais,53.15,3.118854416,04/02/2020,Mariana Ferreira,SC,5,boleto,1,-27.45,-50.95
CiÃªncia de dados com python,livros,63.46,6.54287041,06/01/2021,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
Mesa de centro,moveis,216.49,12.41585639,02/10/2022,Felipe Santos,SP,4,cartao_credito,1,-22.19,-48.79
Xadrez de madeira,brinquedos,47.34,0,08/02/2022,Rafael Costa,GO,5,cartao_credito,4,-15.98,-49.86
Geladeira,eletrodomesticos,3171.14,169.1424417,06/11/2021,Bianca Santos,ES,5,cupom,1,-19.19,-40.34
Bola de basquete,esporte e lazer,48.15,2.846968554,20/04/2022,Bianca Santos,RS,5,boleto,1,-30.17,-53.5
Mesa de jantar,moveis,230.41,9.8530784,10/06/2020,Bianca Santos,MG,5,cartao_credito,3,-18.1,-44.38
Smartwatch,eletronicos,290.65,16.00734263,27/12/2021,Thiago Silva,SP,1,cartao_credito,1,-22.19,-48.79
Xadrez de madeira,brinquedos,32.67,0,01/12/2022,Isabella Pereira,MG,5,cartao_credito,5,-18.1,-44.38
Corda de pular,esporte e lazer,10.53,0,28/02/2023,Rafael Costa,SP,2,cartao_credito,3,-22.19,-48.79
FogÃ£o,eletrodomesticos,645.99,34.68015001,28/11/2021,Juliana Costa,SP,4,cartao_credito,1,-22.19,-48.79
Lavadora de roupas,eletrodomesticos,1877.1,100.6369401,12/05/2022,Camila Ribeiro,DF,5,cartao_credito,8,-15.83,-47.86
Faqueiro,utilidades domesticas,65.9,3.797753558,05/03/2022,Beatriz Moraes,SP,5,cartao_credito,4,-22.19,-48.79
Headset,eletronicos,280.12,12.49998635,26/06/2021,Larissa Alves,RS,4,cartao_credito,2,-30.17,-53.5
Corda de pular,esporte e lazer,22.77,1.495559907,30/08/2021,Camila Ribeiro,SP,5,boleto,1,-22.19,-48.79
Dashboards com Power BI,livros,58.95,0,20/07/2021,Bruno Rodrigues,SP,5,cartao_credito,5,-22.19,-48.79
Bicicleta,esporte e lazer,316.25,17.122487,10/05/2020,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
Cama king,moveis,737.33,36.84504338,24/03/2022,Bianca Santos,SP,5,cartao_credito,4,-22.19,-48.79
Mesa de jantar,moveis,470.66,25.59233359,17/01/2020,Bruno Rodrigues,MG,4,boleto,1,-18.1,-44.38
Mesa de jantar,moveis,457.6,24.89692788,11/02/2020,Beatriz Moraes,PR,5,cartao_credito,9,-24.89,-51.55
Mesa de jantar,moveis,241.71,10.45476941,16/01/2023,Lucas Oliveira,RJ,5,cartao_credito,3,-22.25,-42.66
Mesa de centro,moveis,159.34,9.015480166,14/03/2020,JoÃ£o Souza,RS,5,cartao_credito,10,-30.17,-53.5
Xadrez de madeira,brinquedos,36.27,2.81968356,05/08/2021,Pedro Gomes,SP,1,cartao_credito,6,-22.19,-48.79
Jogo de tabuleiro,brinquedos,170.02,6.637492578,16/05/2021,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
Bola de vÃ´lei,esporte e lazer,79.62,5.127940646,06/11/2021,Isabella Pereira,GO,1,cartao_debito,1,-15.98,-49.86
FogÃ£o,eletrodomesticos,1228.03,62.97334216,21/06/2022,Camila Ribeiro,MG,5,cupom,1,-18.1,-44.38
Bateria,instrumentos musicais,1438,74.15361298,04/06/2021,Bruno Rodrigues,RN,5,cartao_credito,8,-5.81,-36.59
Fone de ouvido,eletronicos,119.91,6.915951287,17/01/2020,Bruno Rodrigues,SP,1,cartao_debito,1,-22.19,-48.79
Guitarra,instrumentos musicais,870.23,43.92156856,10/10/2021,Thiago Silva,ES,5,cartao_credito,1,-19.19,-40.34
Jogo de tabuleiro,brinquedos,316.93,14.46000811,10/04/2021,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
Lavadora de roupas,eletrodomesticos,1646.29,88.19109432,20/12/2020,Beatriz Moraes,GO,5,cartao_credito,12,-15.98,-49.86
Fone de ouvido,eletronicos,133.35,7.389263142,06/02/2021,JoÃ£o Souza,RS,5,cartao_credito,10,-30.17,-53.5
ViolÃ£o,instrumentos musicais,305.43,13.84766771,07/09/2020,Bruno Rodrigues,SP,3,cartao_credito,10,-22.19,-48.79
Mesa de centro,moveis,193.44,10.58322396,11/02/2022,Beatriz Moraes,SP,5,boleto,1,-22.19,-48.79
CiÃªncia de dados com python,livros,61.12,6.418272449,10/12/2022,Felipe Santos,PA,1,boleto,1,-3.79,-52.48
SofÃ¡ retrÃ¡til,moveis,844.76,51.36054299,11/07/2022,Rafael Costa,SP,5,boleto,1,-22.19,-48.79
Boneca bebÃª,brinquedos,76.32,4.346936307,04/01/2023,Bruno Rodrigues,RS,5,cartao_credito,1,-30.17,-53.5
Impressora,eletronicos,351.11,25.07516558,19/05/2020,Lucas Oliveira,SC,5,cartao_credito,10,-27.45,-50.95
FogÃ£o,eletrodomesticos,687.33,37.12935926,04/12/2022,Camila Ribeiro,SP,5,cupom,1,-22.19,-48.79
Jogo de panelas,utilidades domesticas,278.03,21.04619646,22/06/2022,Lucas Oliveira,TO,3,cupom,1,-9.46,-48.26
Iniciando em programaÃ§Ã£o,livros,88.14,2.277628906,02/05/2021,Rafael Costa,SP,1,cartao_credito,1,-22.19,-48.79
Carrinho controle remoto,brinquedos,112,9.127479382,22/11/2022,Thiago Silva,SP,5,cartao_credito,3,-22.19,-48.79
CÃ´moda,moveis,421.16,23.11251513,09/01/2023,JoÃ£o Souza,SP,5,cartao_credito,1,-22.19,-48.79
Jogo de panelas,utilidades domesticas,137.02,10.45971911,25/02/2023,Juliana Costa,RJ,5,cartao_credito,2,-22.25,-42.66
Poltrona,moveis,284.01,15.40580399,29/07/2022,JoÃ£o Souza,MG,5,boleto,1,-18.1,-44.38
CiÃªncia de dados com python,livros,57.43,0,10/12/2022,Mariana Ferreira,RJ,1,cartao_credito,10,-22.25,-42.66
CÃ´moda,moveis,361.34,16.82470701,27/05/2022,Larissa Alves,SP,1,cartao_credito,3,-22.19,-48.79
CÃ´moda,moveis,378.94,17.76185406,10/08/2022,Camila Ribeiro,GO,5,boleto,1,-15.98,-49.86
Smartwatch,eletronicos,277.01,12.33438821,19/07/2022,Pedro Gomes,SP,4,cartao_credito,2,-22.19,-48.79
Lavadora de roupas,eletrodomesticos,1727.98,95.17355286,09/04/2021,JoÃ£o Souza,RJ,5,cartao_credito,6,-22.25,-42.66
Dashboards com Power BI,livros,40.85,0,01/04/2021,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
Bicicleta,esporte e lazer,663.04,32.88932437,27/02/2023,Mariana Ferreira,BA,5,cartao_credito,1,-13.29,-41.71
Faqueiro,utilidades domesticas,68.46,1.229728111,24/03/2021,Beatriz Moraes,PR,5,cartao_credito,6,-24.89,-51.55
Cama king,moveis,1254.58,69.96642704,02/06/2021,Bruno Rodrigues,SP,5,cupom,1,-22.19,-48.79
CÃ´moda,moveis,321.12,14.68311301,09/12/2021,JoÃ£o Souza,CE,4,cartao_credito,3,-5.2,-39.53
Jogo de panelas,utilidades domesticas,237.68,12.93887087,17/07/2022,Juliana Costa,MG,4,cartao_credito,3,-18.1,-44.38
TV Led UHD 4K,eletronicos,2339.44,122.1525811,04/04/2020,Felipe Santos,GO,5,cupom,1,-15.98,-49.86
Mochila,esporte e lazer,139.74,5.025173672,28/01/2023,Larissa Alves,MG,5,boleto,1,-18.1,-44.38
Poltrona,moveis,374.47,20.47050547,20/01/2022,Lucas Oliveira,SP,5,cartao_credito,8,-22.19,-48.79
Assistente virtual,eletronicos,259.64,14.51206105,06/04/2022,Isabella Pereira,RJ,5,cartao_credito,2,-22.25,-42.66
Smartwatch,eletronicos,260.28,15.51192132,25/07/2020,Camila Ribeiro,SP,1,boleto,1,-22.19,-48.79
Celular Plus X42,eletronicos,3327.62,174.7701932,02/11/2022,Rafael Costa,SP,4,cartao_credito,3,-22.19,-48.79
Poltrona,moveis,332.02,25.75671404,22/03/2023,Beatriz Moraes,SP,5,cartao_credito,4,-22.19,-48.79
Dinossauro Rex,brinquedos,26.04,4.550367984,28/03/2020,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
Mesa de jantar,moveis,490.7,23.71273784,02/12/2020,Larissa Alves,SP,5,boleto,1,-22.19,-48.79
Jogo de tabuleiro,brinquedos,326.66,17.9247668,20/11/2022,Felipe Santos,PE,5,cartao_credito,6,-8.38,-37.86
Cama king,moveis,808.28,43.56958289,12/07/2021,JoÃ£o Souza,SP,5,cartao_credito,1,-22.19,-48.79
Poltrona,moveis,383.98,20.97688436,27/03/2021,Camila Ribeiro,SP,5,cartao_credito,1,-22.19,-48.79
Dashboards com Power BI,livros,44.45,2.649954685,20/01/2022,Bruno Rodrigues,SP,4,boleto,1,-22.19,-48.79
Copo tÃ©rmico,esporte e lazer,82.88,1.99754973,24/03/2023,JoÃ£o Souza,MG,5,boleto,1,-18.1,-44.38
Headset,eletronicos,317.83,14.50793041,24/12/2022,Mariana Ferreira,RJ,1,boleto,1,-22.25,-42.66
Bicicleta,esporte e lazer,634.93,34.09123828,31/03/2022,JoÃ£o Souza,MG,5,cartao_credito,1,-18.1,-44.38
Bateria,instrumentos musicais,1252.62,78.34427482,24/07/2020,Felipe Santos,MG,3,cartao_credito,3,-18.1,-44.38
Iniciando em programaÃ§Ã£o,livros,76.65,4.370158718,21/04/2020,Larissa Alves,RJ,5,cartao_credito,5,-22.25,-42.66
SofÃ¡ retrÃ¡til,moveis,829,41.7261951,21/01/2022,Juliana Costa,RJ,5,cupom,1,-22.25,-42.66
Assistente virtual,eletronicos,350.16,16.22940564,17/02/2021,Lucas Oliveira,RS,1,cartao_credito,8,-30.17,-53.5
Secadora de roupas,eletrodomesticos,1182.28,69.33246759,10/04/2020,Pedro Gomes,SP,5,cartao_credito,1,-22.19,-48.79
Carrinho controle remoto,brinquedos,114.68,3.690804063,19/12/2020,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
Jogo de panelas,utilidades domesticas,253.75,11.09586318,15/05/2021,Larissa Alves,CE,1,cartao_credito,1,-5.2,-39.53
Bicicleta,esporte e lazer,651.17,32.25728258,30/08/2020,Mariana Ferreira,SP,5,boleto,1,-22.19,-48.79
Guarda roupas,moveis,669.64,36.18258044,05/09/2020,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
Assistente virtual,eletronicos,239.63,10.34401566,12/02/2021,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
Celular ABXY,eletronicos,1677.07,89.58205811,11/11/2021,Lucas Oliveira,SP,5,cartao_credito,3,-22.19,-48.79
TV Led UHD 4K,eletronicos,2563.67,136.7908409,15/12/2020,Larissa Alves,SP,4,cartao_credito,1,-22.19,-48.79
Pandeiro,instrumentos musicais,90.69,5.11774648,14/03/2020,JoÃ£o Souza,SP,1,cartao_credito,1,-22.19,-48.79
Micro-ondas,eletrodomesticos,554.75,29.8218945,30/01/2021,Thiago Silva,SP,4,cartao_credito,1,-22.19,-48.79
Bateria,instrumentos musicais,545.02,26.60511443,08/11/2022,Juliana Costa,CE,2,boleto,1,-5.2,-39.53
Jogo de panelas,utilidades domesticas,275.69,12.26410218,08/07/2022,Juliana Costa,MG,1,cartao_credito,1,-18.1,-44.38
Cama box,moveis,834.98,44.99127757,01/03/2023,Mariana Ferreira,SP,1,cartao_credito,3,-22.19,-48.79
Assistente virtual,eletronicos,393.16,18.51902628,27/03/2023,Lucas Oliveira,SP,5,cartao_credito,4,-22.19,-48.79
Celular ABXY,eletronicos,1294.21,69.1959149,21/07/2020,Bianca Santos,RS,5,cartao_credito,2,-30.17,-53.5
Impressora,eletronicos,321.09,14.6815156,30/10/2021,JoÃ£o Souza,SP,1,boleto,1,-22.19,-48.79
Assistente virtual,eletronicos,228.46,12.69591223,27/02/2021,Pedro Gomes,SC,5,boleto,1,-27.45,-50.95
Impressora,eletronicos,322.04,14.73210024,01/01/2021,JoÃ£o Souza,SP,3,cartao_credito,1,-22.19,-48.79
Carrinho controle remoto,brinquedos,78.51,4.463547219,16/08/2021,Juliana Costa,SP,4,cartao_credito,7,-22.19,-48.79
Faqueiro,utilidades domesticas,45.09,0,08/12/2020,Beatriz Moraes,DF,5,cartao_credito,1,-15.83,-47.86
Copo tÃ©rmico,esporte e lazer,36.13,0,29/03/2022,Isabella Pereira,SP,5,boleto,1,-22.19,-48.79
Dinossauro Rex,brinquedos,18.59,0,17/03/2023,Juliana Costa,PR,4,cartao_credito,2,-24.89,-51.55
Impressora,eletronicos,303.01,13.71880999,05/08/2022,Mariana Ferreira,MT,3,cartao_credito,10,-12.64,-55.42
Bola de vÃ´lei,esporte e lazer,70.28,1.326637636,04/02/2021,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
Kit banquetas,moveis,305.32,17.14578665,29/10/2020,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
Assistente virtual,eletronicos,239.94,13.30718769,22/06/2020,Isabella Pereira,SP,1,cartao_credito,4,-22.19,-48.79
Modelagem preditiva,livros,105.86,6.16299152,14/12/2021,Felipe Santos,BA,1,cartao_debito,1,-13.29,-41.71
Dashboards com Power BI,livros,45.83,0,06/03/2023,Pedro Gomes,RJ,2,cartao_credito,7,-22.25,-42.66
SofÃ¡ retrÃ¡til,moveis,898.17,45.40928951,09/02/2023,JoÃ£o Souza,SP,5,cartao_credito,2,-22.19,-48.79
Guarda roupas,moveis,651,35.19489605,06/10/2020,Rafael Costa,PE,4,cartao_credito,2,-8.38,-37.86
Celular Plus X42,eletronicos,3314.85,174.0902292,13/05/2021,Rafael Costa,PI,5,cartao_credito,3,-6.6,-42.28
Jogo de panelas,utilidades domesticas,150.89,8.565543087,26/03/2023,Camila Ribeiro,RJ,3,cartao_credito,1,-22.25,-42.66
Headset,eletronicos,210.37,8.786008689,10/03/2023,Juliana Costa,PR,4,cartao_credito,10,-24.89,-51.55
Cama box,moveis,601.17,29.594933,05/01/2021,Bruno Rodrigues,SP,5,cartao_credito,2,-22.19,-48.79
FogÃ£o,eletrodomesticos,1256.07,74.67999984,19/08/2020,Larissa Alves,MT,5,cartao_credito,4,-12.64,-55.42
Dashboards com Power BI,livros,39.22,0,28/01/2020,Lucas Oliveira,ES,5,cartao_credito,6,-19.19,-40.34
Panela de pressÃ£o,utilidades domesticas,100.17,5.616877057,08/04/2020,Larissa Alves,SE,5,cartao_credito,4,-10.57,-37.45
Modelagem preditiva,livros,69.51,3.989975198,22/06/2021,Thiago Silva,DF,3,cartao_credito,1,-15.83,-47.86
Jogo de copos,utilidades domesticas,30.48,1.906094213,13/02/2021,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
Bicicleta,esporte e lazer,732.95,36.61182156,08/04/2022,Juliana Costa,RS,4,cartao_credito,4,-30.17,-53.5
Guarda roupas,moveis,644.17,34.58889139,24/11/2020,Pedro Gomes,MG,5,boleto,1,-18.1,-44.38
Modelagem preditiva,livros,95.16,13.14463161,23/10/2020,JoÃ£o Souza,SP,5,cartao_credito,2,-22.19,-48.79
Impressora,eletronicos,311.31,16.85944686,28/04/2022,Camila Ribeiro,SC,5,boleto,1,-27.45,-50.95
Smartwatch,eletronicos,164.29,9.636363424,11/01/2021,Bianca Santos,GO,1,cartao_credito,1,-15.98,-49.86
Guitarra,instrumentos musicais,1163.5,62.8412899,21/02/2021,Beatriz Moraes,BA,3,cartao_credito,4,-13.29,-41.71
Boneca bebÃª,brinquedos,72.92,7.04658695,26/06/2022,Larissa Alves,RS,3,cartao_credito,6,-30.17,-53.5
Impressora,eletronicos,302.28,16.38427743,09/11/2022,Beatriz Moraes,SP,5,cartao_credito,2,-22.19,-48.79
Bateria,instrumentos musicais,686.53,34.14009621,06/11/2022,Beatriz Moraes,SP,4,cartao_credito,2,-22.19,-48.79
Cama king,moveis,1174.44,62.81852272,21/04/2020,Thiago Silva,SP,4,cartao_credito,4,-22.19,-48.79
Bola de vÃ´lei,esporte e lazer,57.61,4.720353538,17/12/2022,Beatriz Moraes,SC,1,cartao_credito,2,-27.45,-50.95
Iniciando em programaÃ§Ã£o,livros,54.99,3.454317057,28/06/2022,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
Kit banquetas,moveis,356.31,16.55687464,19/07/2020,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
Impressora,eletronicos,301.67,19.22683628,25/01/2022,Lucas Oliveira,SP,5,cartao_credito,2,-22.19,-48.79
Micro-ondas,eletrodomesticos,925.52,46.86559473,10/06/2020,Thiago Silva,RJ,1,cartao_credito,1,-22.25,-42.66
Celular ABXY,eletronicos,910.45,46.06316257,17/12/2020,JoÃ£o Souza,RN,1,cupom,1,-5.81,-36.59
Cubo mÃ¡gico 8x8,brinquedos,21.7,0,05/09/2020,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
Celular ABXY,eletronicos,1084.31,58.26734998,14/02/2020,Isabella Pereira,RJ,5,cartao_credito,4,-22.25,-42.66
Guarda roupas,moveis,623.62,30.79032797,25/03/2020,Juliana Costa,RJ,5,cartao_credito,2,-22.25,-42.66
Mochila,esporte e lazer,142.5,8.118800828,16/06/2022,Felipe Santos,PE,5,cartao_credito,4,-8.38,-37.86
Impressora,eletronicos,372.84,17.43704741,10/11/2020,Bruno Rodrigues,BA,5,cartao_credito,4,-13.29,-41.71
Micro-ondas,eletrodomesticos,1042.71,58.68498693,03/04/2022,Bianca Santos,SP,5,cartao_credito,4,-22.19,-48.79
Impressora,eletronicos,407.96,22.25374722,19/01/2022,Bruno Rodrigues,MG,5,cartao_credito,4,-18.1,-44.38
Boneca bebÃª,brinquedos,79.53,10.47666863,27/01/2023,Camila Ribeiro,SP,2,cartao_credito,1,-22.19,-48.79
Cama box,moveis,979.59,52.69132502,09/07/2020,Beatriz Moraes,PI,1,cartao_credito,10,-6.6,-42.28
Lavadora de roupas,eletrodomesticos,1955.53,101.7105285,24/09/2021,Isabella Pereira,RJ,5,cartao_credito,1,-22.25,-42.66
Mesa de jantar,moveis,222.03,12.10555545,22/08/2020,Felipe Santos,AL,3,boleto,1,-9.62,-36.82
Dinossauro Rex,brinquedos,25.5,0,30/11/2020,Thiago Silva,PR,3,cartao_credito,1,-24.89,-51.55
Jogo de tabuleiro,brinquedos,334.2,18.0782705,03/01/2023,Camila Ribeiro,SP,5,cartao_credito,1,-22.19,-48.79
Faqueiro,utilidades domesticas,55.14,0,03/09/2022,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
Headset,eletronicos,192.87,14.74978598,27/06/2021,Felipe Santos,PR,4,cupom,1,-24.89,-51.55
Iniciando em programaÃ§Ã£o,livros,76.49,4.603966912,28/10/2021,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
Guarda roupas,moveis,644.77,34.8631673,14/01/2023,Mariana Ferreira,RS,5,boleto,1,-30.17,-53.5
Celular ABXY,eletronicos,1239.47,72.37766304,07/11/2021,Lucas Oliveira,MT,1,cartao_credito,1,-12.64,-55.42
